"COL Sens","Scenario","Model","LY","LY No Screening","LY No Pandemic","LYG No Pandemic","LYG Screening","LY Lost Pandemic","Perc LYG Loss"
"High","C70 | U","MISCAN",15515,15372,15603,231,144,87,38
"High","F70 | F3m","CRCSPIN",15888,15631,15888,257,257,0,0
"High","F70 | F3m","MISCAN",15588,15367,15588,222,221,0,0
"High","F70 | F9m","CRCSPIN",15888,15631,15889,257,257,1,0
"High","F70 | F9m","MISCAN",15588,15367,15589,222,221,1,0
"High","F70 | F18m","CRCSPIN",15888,15632,15889,257,256,1,0
"High","F70 | F18m","MISCAN",15588,15367,15588,222,221,0,0
"High","F70 | U","CRCSPIN",15855,15631,15888,257,224,33,13
"High","F70 | U","MISCAN",15559,15367,15588,222,192,29,13
"Low","U50 | C3m","CRCSPIN",31867,31595,31867,273,273,0,0
"Low","U50 | C3m","MISCAN",31401,31156,31405,249,246,3,1
"Low","U50 | C9m","CRCSPIN",31866,31595,31867,273,271,2,1
"Low","U50 | C9m","MISCAN",31400,31156,31405,249,245,5,2
"Low","U50 | C18m","CRCSPIN",31861,31595,31867,273,267,6,2
"Low","U50 | C18m","MISCAN",31398,31156,31405,249,242,7,3
"Low","U50 | C@65","CRCSPIN",31751,31595,31867,273,156,117,43
"Low","U50 | C@65","MISCAN",31311,31156,31405,249,155,94,38
"Low","U50 | F3m","CRCSPIN",31843,31595,31843,249,248,0,0
"Low","U50 | F3m","MISCAN",31397,31156,31398,243,242,1,1
"Low","U50 | F9m","CRCSPIN",31841,31595,31843,249,246,2,1
"Low","U50 | F9m","MISCAN",31396,31156,31398,243,240,3,1
"Low","U50 | F18m","CRCSPIN",31837,31595,31843,249,242,6,2
"Low","U50 | F18m","MISCAN",31394,31156,31398,243,238,5,2
"Low","U60 | C3m","CRCSPIN",23420,23218,23418,200,202,-2,-1
"Low","U60 | C3m","MISCAN",23124,22950,23129,178,173,5,3
"Low","U60 | C9m","CRCSPIN",23416,23218,23418,200,198,2,1
"Low","U60 | C9m","MISCAN",23121,22950,23129,178,171,8,4
"Low","U60 | C18m","CRCSPIN",23409,23218,23418,200,191,9,4
"Low","U60 | C18m","MISCAN",23116,22950,23129,178,166,13,7
"Low","U60 | C@65","CRCSPIN",23377,23218,23418,200,159,41,20
"Low","U60 | C@65","MISCAN",23091,22950,23129,178,141,37,21
"Low","U60 | F3m","CRCSPIN",23394,23218,23392,174,176,-2,-1
"Low","U60 | F3m","MISCAN",23112,22950,23116,165,162,3,2
"Low","U60 | F9m","CRCSPIN",23390,23218,23392,174,172,2,1
"Low","U60 | F9m","MISCAN",23110,22950,23116,165,160,6,3
"Low","U60 | F18m","CRCSPIN",23385,23218,23392,174,167,7,4
"Low","U60 | F18m","MISCAN",23105,22950,23116,165,155,11,6
"Low","C60 | C3m","CRCSPIN",23460,23188,23460,272,273,0,0
"Low","C60 | C3m","MISCAN",23145,22926,23148,221,219,3,1
"Low","C60 | C9m","CRCSPIN",23460,23188,23460,272,272,1,0
"Low","C60 | C9m","MISCAN",23144,22926,23147,221,218,3,1
"Low","C60 | C18m","CRCSPIN",23459,23188,23460,272,271,1,0
"Low","C60 | C18m","MISCAN",23143,22926,23147,221,217,4,2
"Low","C60 | F3m","CRCSPIN",23451,23188,23460,272,263,9,3
"Low","C60 | F3m","MISCAN",23139,22926,23147,221,213,8,4
"Low","C60 | F9m","CRCSPIN",23451,23188,23460,272,263,9,3
"Low","C60 | F9m","MISCAN",23139,22926,23147,221,213,8,4
"Low","C60 | F18m","CRCSPIN",23451,23188,23460,272,263,9,3
"Low","C60 | F18m","MISCAN",23138,22926,23147,221,212,9,4
"Low","C60 | C@65","CRCSPIN",23455,23188,23460,272,267,5,2
"Low","C60 | C@65","MISCAN",23134,22926,23148,221,208,14,6
"Low","C60 | U","CRCSPIN",23352,23187,23460,272,164,108,40
"Low","C60 | U","MISCAN",23023,22926,23148,221,97,124,56
"Low","F60 | F3m","CRCSPIN",23434,23191,23438,248,244,4,2
"Low","F60 | F3m","MISCAN",23142,22926,23142,216,216,0,0
"Low","F60 | F9m","CRCSPIN",23435,23191,23438,248,245,3,1
"Low","F60 | F9m","MISCAN",23142,22926,23142,216,215,1,0
"Low","F60 | F18m","CRCSPIN",23432,23191,23439,248,241,6,3
"Low","F60 | F18m","MISCAN",23141,22926,23142,216,215,1,0
"Low","F60 | U","CRCSPIN",23329,23191,23438,248,139,109,44
"Low","F60 | U","MISCAN",23052,22926,23142,216,125,91,42
"Low","f60 | F3m","CRCSPIN",23419,23195,23422,227,224,3,1
"Low","f60 | F3m","MISCAN",23133,22931,23135,204,202,2,1
"Low","f60 | F9m","CRCSPIN",23418,23195,23422,227,223,4,2
"Low","f60 | F9m","MISCAN",23132,22931,23135,204,201,2,1
"Low","f60 | F18m","CRCSPIN",23416,23195,23422,227,221,6,3
"Low","f60 | F18m","MISCAN",23130,22931,23135,204,199,4,2
"Low","f60 | U","CRCSPIN",23288,23195,23422,227,92,135,59
"Low","f60 | U","MISCAN",22993,22931,23135,204,62,142,70
"Low","U70 | C3m","CRCSPIN",15835,15725,15837,112,110,2,2
"Low","U70 | C3m","MISCAN",15541,15444,15550,105,97,9,8
"Low","U70 | C9m","CRCSPIN",15831,15725,15837,112,106,6,6
"Low","U70 | C9m","MISCAN",15537,15444,15550,105,93,13,12
"Low","U70 | C18m","CRCSPIN",15824,15725,15837,112,99,13,12
"Low","U70 | C18m","MISCAN",15531,15444,15550,105,87,19,18
"Low","U70 | C@75","CRCSPIN",15795,15725,15837,112,70,43,38
"Low","U70 | C@75","MISCAN",15504,15444,15550,105,60,45,43
"Low","U70 | F3m","CRCSPIN",15809,15725,15810,85,84,1,1
"Low","U70 | F3m","MISCAN",15523,15444,15530,86,79,7,8
"Low","U70 | F9m","CRCSPIN",15806,15725,15810,85,81,4,5
"Low","U70 | F9m","MISCAN",15520,15444,15530,86,76,10,12
"Low","U70 | F18m","CRCSPIN",15801,15725,15810,85,76,9,11
"Low","U70 | F18m","MISCAN",15515,15444,15530,86,71,15,17
"Low","C70 | C3m","CRCSPIN",15889,15629,15889,260,260,0,0
"Low","C70 | C3m","MISCAN",15584,15373,15585,212,211,1,1
"Low","C70 | C9m","CRCSPIN",15890,15629,15889,260,261,-1,0
"Low","C70 | C9m","MISCAN",15583,15373,15585,212,210,2,1
"Low","C70 | C18m","CRCSPIN",15889,15629,15889,260,260,0,0
"Low","C70 | C18m","MISCAN",15583,15373,15585,212,210,2,1
"Low","C70 | C@75","CRCSPIN",15889,15629,15889,260,260,0,0
"Low","C70 | C@75","MISCAN",15578,15373,15585,212,205,7,4
"Low","C70 | F3m","CRCSPIN",15885,15629,15889,260,255,5,2
"Low","C70 | F3m","MISCAN",15579,15373,15585,212,206,6,3
"Low","C70 | F9m","CRCSPIN",15886,15629,15889,260,256,4,1
"Low","C70 | F9m","MISCAN",15578,15373,15586,212,205,7,3
"Low","C70 | F18m","CRCSPIN",15885,15629,15889,260,255,4,2
"Low","C70 | F18m","MISCAN",15578,15373,15585,212,205,7,3
"Low","C70 | U","CRCSPIN",15850,15629,15889,260,220,40,15
"Low","C70 | U","MISCAN",15505,15378,15591,212,127,85,40
"Low","F70 | F3m","CRCSPIN",15871,15638,15872,234,234,0,0
"Low","F70 | F3m","MISCAN",15577,15372,15577,206,206,0,0
"Low","F70 | F9m","CRCSPIN",15872,15638,15872,234,233,1,0
"Low","F70 | F9m","MISCAN",15578,15372,15578,206,206,0,0
"Low","F70 | F18m","CRCSPIN",15871,15638,15872,234,233,1,0
"Low","F70 | F18m","MISCAN",15577,15372,15577,206,206,0,0
"Low","F70 | U","CRCSPIN",15839,15638,15872,234,201,33,14
"Low","F70 | U","MISCAN",15548,15372,15577,206,177,29,14
