"scenario","model","LY_High","LY_Low","LY_no_screening_High","LY_no_screening_Low","LY_no_pandemic_High","LY_no_pandemic_Low","n_crc_dth_High","n_crc_dth_Low","n_oc_dth_High","n_oc_dth_Low","n_crc_dth_no_screening_High","n_crc_dth_no_screening_Low","n_oc_dth_no_screening_High","n_oc_dth_no_screening_Low","n_crc_dth_no_pandemic_High","n_crc_dth_no_pandemic_Low","n_oc_dth_no_pandemic_High","n_oc_dth_no_pandemic_Low","LYG_no_pandemic_High","LYG_no_pandemic_Low","LYG_screening_High","LYG_screening_Low","LY_lost_pandemic_High","LY_lost_pandemic_Low","perc_LYG_loss_High","perc_LYG_loss_Low"
"U60 | C@65","MISCAN",23102.5133971558,23091.2868348127,22950.2185141631,22950.2185141631,23144.1433678826,23128.6352317399,10.0884175526291,11.41890971192,968.853732789247,967.608779133816,27.0918916332878,27.0918916332878,952.78776498248,952.78776498248,7.97163325361131,9.58479759731847,970.947877683997,969.433493759854,193.924853719545,178.416717576842,152.294882992715,141.068320649567,41.6299707268299,37.3483969272747,21.4670631063284,20.9332384512619
"U60 | F3m","CRCSPIN",23410.0043159831,23394.1264727445,23217.8745325838,23217.8745325838,23408.3465499522,23392.084471488,10.3285603775695,12.1343375666022,989.665268935047,987.856725575808,28.8593473732075,28.8593473732075,971.140652626793,971.140652626793,10.4887854672226,12.3199901439228,989.503767151452,987.672775257076,190.472017368451,174.209938904238,192.129783399381,176.251940160746,-1.65776603093036,-2.04200125650823,-0.870346234493628,-1.17214968867574
"U60 | F3m","MISCAN",23123.1529467854,23112.393016769,22950.2185141631,22950.2185141631,23125.7670567301,23115.5235346112,10.1814313314832,11.3559038226848,968.89121595386,967.787544995816,27.0918916332878,27.0918916332878,952.78776498248,952.78776498248,10.0572349769398,11.2408913774198,969.018936366615,967.91099382286,175.548542566983,165.305020448082,172.934432622358,162.174502605874,2.61410994462494,3.13051784220806,1.48910945451312,1.8937826774543
"U60 | F9m","CRCSPIN",23405.9917233637,23390.2471746697,23217.8745325838,23217.8745325838,23408.3465499522,23392.084471488,10.4681455818357,12.2649859132782,989.52387508103,987.727566705397,28.8593473732075,28.8593473732075,971.140652626793,971.140652626793,10.4887854672226,12.3199901439228,989.503767151452,987.672775257076,190.472017368451,174.209938904238,188.117190779896,172.37264208596,2.35482658855472,1.83729681827754,1.23631104510198,1.05464523426961
"U60 | F9m","MISCAN",23119.871807577,23109.961601221,22950.2185141631,22950.2185141631,23125.7670567301,23115.5235346112,10.2253218746623,11.4004351037205,968.846043934968,967.737460653356,27.0918916332878,27.0918916332878,952.78776498248,952.78776498248,10.0572349769398,11.2408913774198,969.018936366615,967.91099382286,175.548542566983,165.305020448082,169.653293413943,159.743087057901,5.89524915303991,5.56193339018137,3.35818746589166,3.36464880201761
"U60 | F18m","CRCSPIN",23399.9781328174,23384.6595310971,23217.8745325838,23217.8745325838,23408.3465499522,23392.084471488,10.7361449183804,12.5015998570954,989.255237397515,987.492867802492,28.8593473732075,28.8593473732075,971.140652626793,971.140652626793,10.4887854672226,12.3199901439228,989.503767151452,987.672775257076,190.472017368451,174.209938904238,182.103600233666,166.784998513351,8.36841713478498,7.42494039088706,4.39351525247776,4.2620647464715
"U60 | F18m","MISCAN",23114.7807233482,23104.9206678218,22950.2185141631,22950.2185141631,23125.7670567301,23115.5235346112,10.4128444873691,11.5668133671586,968.648803464769,967.574820027415,27.0918916332878,27.0918916332878,952.78776498248,952.78776498248,10.0572349769398,11.2408913774198,969.018936366615,967.91099382286,175.548542566983,165.305020448082,164.562209185104,154.702153658756,10.9863333818794,10.6028667893261,6.258288004691,6.41412266886119
"C60 | C3m","CRCSPIN",23482.5413879982,23460.2310036044,23184.7621721969,23187.6123708289,23482.3369616521,23459.9674285547,5.23324813993348,7.47231272573342,994.759846297041,992.520143347361,28.8181893804977,28.8217321196182,969.755652495495,969.874868565668,5.24419080134384,7.51502622736503,994.738279692513,992.472435978624,297.574789455208,272.355057725839,297.779215801289,272.618632775509,-0.204426346081164,-0.26357504967018,-0.0686974681072351,-0.0967762639956196
"C60 | C3m","MISCAN",23163.1830549883,23144.8676734683,22923.8018805557,22926.2962629194,23164.9017119582,23147.5336858056,6.97333705244643,8.77514608263837,971.932465030648,970.233012142661,27.0607077657108,27.0636522926507,951.691067568569,951.794622878768,6.87317699902773,8.5911259631053,972.028678415295,970.409138065762,241.099831402575,221.237422886232,239.38117443263,218.571410548888,1.71865696994428,2.666012337344,0.712840386468194,1.2050458293012
"C60 | C9m","CRCSPIN",23482.5706970678,23459.5361174298,23184.6365529444,23187.7158484374,23482.2097300853,23460.0721215816,5.20017950117033,7.46915848288615,994.792914973219,992.522660038749,28.8180332383133,28.8218607401879,969.750398183231,969.879196753079,5.24416238736557,7.51505976410567,994.732890019837,992.476865010495,297.573177140952,272.356273144222,297.934144123465,271.820268992389,-0.360966982512764,0.536004151832458,-0.121303602018466,0.196802572470444
"C60 | C9m","MISCAN",23162.6314086306,23144.2726482252,22923.774983312,22926.2473482437,23164.8745318243,23147.4842991062,6.95636888125725,8.73917683975722,971.942844623246,970.260598602837,27.0606760145007,27.0635945506692,951.689950918432,951.79259216588,6.87316893450521,8.59110763340497,972.027537902376,970.407067637651,241.099548512284,221.236950862465,238.856425318547,218.025299981495,2.24312319373712,3.21165088097041,0.930372208317442,1.45167923732911
"C60 | C18m","CRCSPIN",23481.7554018164,23459.0613046393,23184.6661102931,23187.6271532878,23482.2396668005,23459.9823846442,5.22876441928705,7.49144295013206,994.764223807308,992.501438128391,28.8180699774986,28.821750493915,969.751634486876,969.87548687579,5.24416907297981,7.51503101830965,994.734158172859,992.473068695042,297.573556507428,272.355231356389,297.089291523349,271.434151351492,0.484264984079346,0.921080004896794,0.162737909162052,0.33819067851556
"C60 | C18m","MISCAN",23161.4064130883,23143.3483818265,22923.6380528683,22926.1715309089,23164.7361612222,23147.4077501385,6.9721138910868,8.71119836876919,971.924239007699,970.280005624051,27.0605143731316,27.0635050510848,951.68426619472,951.789444578029,6.87312787904763,8.59107922252402,972.021731696281,970.403858491538,241.098108353846,221.236219229599,237.76836021991,217.176850917618,3.32974813393594,4.05936831198051,1.38107600954258,1.83485702572403
"C60 | F3m","CRCSPIN",23473.5430288791,23450.9192722773,23184.9247403092,23187.5064304246,23482.5016163147,23459.8602438047,6.50827318811364,8.71574581417565,993.484927440615,991.277666561442,28.8183914493657,28.8216004378433,969.76245227824,969.870437366196,5.24422757283162,7.51499189244067,994.745254649734,992.467901534566,297.576876005482,272.353813380185,288.618288569945,263.412841852783,8.95858743553617,8.94097152740142,3.01051195771379,3.28285160263958
"C60 | F3m","MISCAN",23155.2262145662,23139.0884442903,22923.6551690843,22926.1764223347,23164.7534574571,23147.4126887663,8.12965897266736,9.70917078940699,970.871210888896,969.381665760617,27.0605345781971,27.0635108252336,951.68497678147,951.789647647585,6.873133010953,8.59108105547842,972.02245746825,970.404065532582,241.098288372712,221.236266431584,231.571045481869,212.912021955563,9.5272428908429,8.3242444760217,3.95160121423791,3.76260393934822
"C60 | F9m","CRCSPIN",23473.2324067856,23450.7409703908,23185.0602154776,23187.5384588168,23482.6388302973,23459.8926483933,6.47303927297298,8.71246403630254,993.521223723995,991.280842078063,28.8185598422537,28.8216402484855,969.768118836706,969.871777026882,5.24425821613203,7.51500227273355,994.751067188805,992.469272408632,297.578614819711,272.354189576519,288.172191307942,263.202511573982,9.40642351176939,9.15167800253766,3.16098773343249,3.36021194194498
"C60 | F9m","MISCAN",23155.447385194,23139.0449528531,22923.6087108432,22926.2375653336,23164.7065105939,23147.4744217916,8.05401642696367,9.62812135994467,970.946895992501,969.453805147622,27.0604797359466,27.0635830023024,951.683048048474,951.792186024343,6.87311908151338,8.59110396747429,972.020487518285,970.406653553089,241.097799750703,221.236856457963,231.838674350733,212.80738751946,9.2591253999708,8.4294689385024,3.8404022805454,3.81015580923519
"C60 | F18m","CRCSPIN",23472.7337508622,23450.8458416692,23184.5183243031,23187.6443995138,23482.0899839878,23459.9998334394,6.42773669896311,8.60253236163171,993.565570287268,991.390667469512,28.8178862825089,28.8217719306243,969.74545300017,969.876208238596,5.24413564507904,7.51503660775277,994.727817440081,992.473806865217,297.571659684665,272.355433925615,288.21542655912,263.201442155449,9.35623312554526,9.15399177016661,3.14419495978213,3.36104612939969
"C60 | F18m","MISCAN",23153.9313936221,23138.0384861834,22923.4864532138,22926.100605469,23164.5829671266,23147.3361402723,8.00480078983489,9.57984564844137,970.976490550952,969.489404531977,27.0603354152969,27.063421326203,951.677972472684,951.786500079208,6.87308242536312,8.59105264477326,972.015303477586,970.400856406326,241.096513912787,221.235534803247,230.444940408255,211.937880714388,10.6515735045323,9.29765408885942,4.41797076683792,4.20260429552068
"C60 | C@65","CRCSPIN",23479.3966664551,23454.7224650172,23184.9813933688,23187.639472018,23482.5589965123,23459.9948480667,5.15170496776028,7.50302846518203,994.839264595205,992.48932134648,28.8184618679703,28.8217658058469,969.764821921907,969.876002134827,5.24424038725914,7.51503501076817,994.747685339627,992.47359595934,297.577603143498,272.355376048668,294.415273086259,267.082992999174,3.16233005723916,5.27238304949424,1.06269088259113,1.93584687990594
"C60 | C@65","MISCAN",23153.6938508532,23133.9459816524,22923.7700929109,22926.3207203355,23164.8695899886,23147.5583792344,7.26250046933293,9.06329392098221,971.619864217716,969.922972829534,27.0606702415614,27.0636811637338,951.689747891415,951.795638238462,6.87316746823043,8.5911351279848,972.027330536678,970.41017328313,241.099497077768,221.23765889887,229.923757942393,207.62526131684,11.1757391353749,13.6123975820301,4.6353224584994,6.15283928142291
"C60 | U","CRCSPIN",23376.7351528549,23351.5030286804,23185.0700682789,23187.4374464957,23482.6488095586,23459.7904496104,17.8564295257749,19.8168964625094,982.143570474225,980.183103537491,28.8185720890859,28.8215146922181,969.768530952632,969.867551955748,5.24426044474966,7.51496953498417,994.751489921569,992.464948895593,297.578741279725,272.353003114695,191.665084575987,164.065582184718,105.913656703739,108.287420929977,35.5918088262156,39.7599511265071
"C60 | U","MISCAN",23040.9125465771,23023.4086486801,22923.6649497907,22926.3843098616,23164.7633410314,23147.6225823957,20.4917285249968,21.8735154986607,959.167582128353,957.834374642293,27.0605461239624,27.0637562288383,951.685382831517,951.798278183803,6.8731359434738,8.591158956763,972.022872195575,970.412864858625,241.098391240761,221.238272534098,117.247596786397,97.0243388185081,123.850794454363,124.21393371559,51.369398948285,56.1448669313965
"F60 | F3m","CRCSPIN",23456.8310614668,23434.3768301568,23189.600780789,23190.5717021154,23460.0195570541,23438.3898979758,7.72968153291288,9.96265492129245,992.263730247695,990.030437785318,28.8242036728898,28.8254105084161,969.958038355551,969.998649358477,7.47050948294485,9.58881094982404,992.534272289195,990.392911289206,270.41877626504,247.818195860389,267.230280677744,243.805128041393,3.18849558729562,4.01306781899621,1.17909548713087,1.61935962977352
"F60 | F3m","MISCAN",23156.5984997081,23141.9914287101,22925.3155635319,22926.1984337768,23156.671504578,23142.0914588786,8.20950642474764,9.69371181932182,970.805950177377,969.41075942379,27.0624946129748,27.0635368089341,951.753908740166,951.790561461658,8.2617765705152,9.70149930419356,970.768507685205,969.39785140092,231.355941046091,215.893025101828,231.282936176223,215.792994933327,0.0730048698678729,0.100030168501689,0.0315552172716104,0.0463332099100974
"F60 | F9m","CRCSPIN",23456.4955582446,23435.1351199346,23189.2410184039,23190.5347366168,23459.6555994047,23438.3525374579,7.77079047736541,9.8963291300926,992.221983845724,990.097188651059,28.8237564955382,28.8253645610507,969.942990471776,969.997103192036,7.47039358580911,9.58879566537214,992.51887415878,990.391332614551,270.414581000761,247.817800841101,267.254539840644,244.600383317778,3.16004116011754,3.21741752332309,1.16859126028735,1.29829960253181
"F60 | F9m","MISCAN",23156.2583331387,23141.5725834494,22924.9414035841,22926.3818641041,23156.2935687116,23142.2766165454,8.16702364460124,9.62210127225052,970.844828577521,969.472388344709,27.0620529308726,27.0637533417112,951.738375335977,951.798176647173,8.26164173154726,9.70157692496432,970.75266394717,969.405607460684,231.35216512745,215.894752441345,231.316929554545,215.190719345333,0.0352355729046394,0.704033096011699,0.0152302758373705,0.326100142801281
"F60 | F18m","CRCSPIN",23454.4282323727,23432.1040540286,23189.2163775531,23190.6875281075,23459.6306712118,23438.5069617032,7.88628666801334,10.1174288247681,992.106700182438,989.877682912418,28.8237258674602,28.8255544777763,969.94195981189,970.003494045246,7.47038564778072,9.5888588414222,992.517819509796,990.397857835715,270.414293658661,247.819433595665,265.211854819514,241.416525921046,5.20243883914736,6.4029076746192,1.92387716224583,2.5836987768546
"F60 | F18m","MISCAN",23155.9380957278,23141.4546304798,22925.2177427586,22926.2179995385,23156.5726966245,23142.1112088886,8.09021063285435,9.50650026184107,970.915628237535,969.572883826522,27.0623791391378,27.0635599055985,951.749847670511,951.791373742307,8.2617413180725,9.70150758368326,970.76436548154,969.398678708049,231.354953865935,215.893209350073,230.720352969191,215.236630941279,0.634600896744814,0.656578408794303,0.274297518224983,0.304121843744355
"F60 | U","CRCSPIN",23348.9916399798,23329.183032319,23189.3321900072,23190.6234540115,23459.747834179,23438.442202901,19.9712119399255,21.4726977461558,980.028788060074,978.527302253844,28.8238698199928,28.8254748349738,969.946803932399,970.000813999776,7.47042295666086,9.58883234813857,992.522776379509,990.395121442178,270.415644171851,247.818748889502,159.659449972667,138.559578307479,110.756194199184,109.259170582023,40.9577613522973,44.0883391880652
"F60 | U","MISCAN",23064.4010473232,23051.50587043,22925.0856860388,22926.32316608,23156.4393072248,23142.2173657697,18.2520185141133,19.3761145231622,961.307999278893,960.227604885191,27.0622232510211,27.0636840508455,951.744365281451,951.79573977455,8.26169372775207,9.70155208618254,970.758773562665,969.403125508056,231.353621186056,215.894199689672,139.315361284425,125.182704350031,92.0382599016302,90.7114953396413,39.7825024003461,42.016643091862
"f60 | F3m","CRCSPIN",23439.7831991762,23419.2178722105,23194.3107549231,23195.3806859876,23441.7207830061,23422.4286175478,8.84031652833202,10.9321550377578,991.152775064604,989.060085931794,28.8300580752583,28.8313879778819,970.155043785484,970.199796096931,8.62328626334465,10.6531488058746,991.366510550838,989.343875127652,247.410028082999,227.047931560184,245.472444253101,223.837186222958,1.93758382989836,3.2107453372264,0.783146845304247,1.41412666266696
"f60 | F3m","MISCAN",23145.247683145,23133.0726746314,22930.4572200087,22931.1055944569,23147.3394979703,23134.6324882744,8.92611547635078,10.2116846025223,970.111949351886,968.903145526216,27.0685641499598,27.0693295322273,951.967366724447,951.994284256449,8.85260076690032,10.1427559448566,970.191225736678,968.984024663229,216.882277961566,203.526893817536,214.790463136262,201.967080174596,2.09181482530403,1.55981364293984,0.964493201087976,0.76639190707555
"f60 | F9m","CRCSPIN",23437.9351209741,23417.8700885102,23194.1406597693,23195.2524862772,23441.5488734743,23422.2991629549,8.906997049069,10.9696141040963,991.084925488062,989.024114933351,28.8298466504303,28.8312286282408,970.147929167028,970.194433851124,8.62322302459534,10.6530899264533,991.359240378387,989.338407073476,247.408213705017,227.046676677608,243.79446120478,222.61760223292,3.61375250023775,4.42907444468801,1.46064370544561,1.95073299882606
"f60 | F9m","MISCAN",23144.7665938558,23132.0904709022,22930.5844453108,22931.0517657485,23147.4679266027,23134.578181805,8.8439006246331,10.1464666516788,970.186152227295,968.965638291209,27.068714334765,27.0692659894104,951.972648535214,951.992049535474,8.85264988388025,10.1427321356491,970.196608659078,968.981750060366,216.883481291843,203.526416056455,214.182148544918,201.03870515366,2.70133274692489,2.48771090279479,1.24552258698297,1.22230369452619
"f60 | F18m","CRCSPIN",23435.5110328741,23416.1661371478,23194.3551279822,23195.4176669366,23441.7656293856,23422.4659604848,8.95108073201196,11.0219860449895,991.041585714152,988.970786353481,28.8301132300712,28.8314339444518,970.156899790069,970.201342909622,8.62330276056223,10.653165790444,991.368407135101,989.345452462205,247.410501403359,227.048293548127,241.155904891835,220.748470211169,6.25459651152414,6.29982333695807,2.52802386157697,2.77466227052824
"f60 | F18m","MISCAN",23142.7544761677,23130.2805237168,22930.550192206,22931.005277522,23147.433349523,23134.5312809684,8.8500759050455,10.1449522783169,970.180221667487,968.959512593296,27.0686739002304,27.0692111117632,951.971226503473,951.990119557621,8.85263666002435,10.1427115732417,970.195159404864,968.979785639214,216.883157317006,203.526003446408,212.204283961684,199.2752461948,4.67887335532214,4.25075725160787,2.1573244382842,2.08855732418839
"f60 | U","CRCSPIN",23299.4007691762,23287.7906137558,23194.4734569699,23195.3461705416,23441.8852205698,23422.3937642474,23.5296680965398,24.4316624941568,976.47033190346,975.568337505843,28.8302603106042,28.8313450758821,970.161849170348,970.198352409537,8.62334675345104,10.6531329536587,991.373464728615,989.342402953274,247.411763599885,227.047593705807,104.927312206266,92.4444432142009,142.484451393619,134.603150491606,57.5900067646117,59.2841123284556
"f60 | U","MISCAN",22998.3168429852,22992.8684587877,22930.4352003882,22931.2719756985,23147.3172700824,23134.8003462463,23.9258673687083,24.3465041019784,955.861768151901,955.456292351819,27.068538156605,27.0695259391838,951.966452570841,952.001191642158,8.8525922659399,10.1428295376593,970.190294083096,968.991055321411,216.882069694228,203.528370547789,67.8816425969744,61.596483089179,149.000427097253,141.93188745861,68.7011274409739,69.7356771818128
"U70 | C3m","CRCSPIN",15848.7718936323,15835.3872609848,15725.1336924004,15725.1336924004,15851.3993274597,15837.465210458,9.77642178789789,11.6272412285618,990.215814911263,988.364631565872,25.370709745223,25.370709745223,974.629290254777,974.629290254777,9.62006405693605,11.5092147954928,990.372051340649,988.482900602093,126.265635059353,112.331518057603,123.638201231997,110.25356858448,2.62743382735607,2.07794947312323,2.08087800462968,1.84983654548109
